first_name,last_name,birth_year,birth_country,id,edited_first,edited_last
Joe,Roa,1971.0,USA,roajo01,joe,roa
Donn,Roach,1989.0,USA,roachdo01,donn,roach
Jason,Roach,1976.0,USA,roachja01,jason,roach
John,Roach,1867.0,USA,roachjo01,john,roach
Mel,Roach,1933.0,USA,roachme01,mel,roach
Mike,Roach,1869.0,USA,roachmi01,mike,roach
Roxey,Roach,1882.0,USA,roachro01,roxey,roach
Skel,Roach,1871.0,Germany,roachsk01,skel,roach
Tanner,Roark,1986.0,USA,roarkta01,tanner,roark
Mike,Roarke,1930.0,USA,roarkmi01,mike,roarke
Fred,Roat,1867.0,USA,roatfr01,fred,roat
Bruce,Robbins,1959.0,USA,robbibr01,bruce,robbins
Jake,Robbins,1976.0,USA,robbija01,jake,robbins
Tony,Robello,1913.0,USA,robelto01,tony,robello
Bert,Roberge,1954.0,USA,roberbe01,bert,roberge
Skippy,Roberge,1917.0,USA,robersk02,skippy,roberge
Chris,Roberson,1979.0,USA,roberch02,chris,roberson
Kevin,Roberson,1968.0,USA,roberke01,kevin,roberson
Sid,Roberson,1971.0,USA,robersi01,sid,roberson
Daniel,Robert,1994.0,USA,roberda11,daniel,robert
Luis,Robert,1997.0,Cuba,roberlu01,luis,robert
Bip,Roberts,1963.0,USA,roberbi01,bip,roberts
Brian,Roberts,1977.0,USA,roberbr01,brian,roberts
Curt,Roberts,1929.0,USA,robercu01,curt,roberts
Dale,Roberts,1942.0,USA,roberda04,dale,roberts
Dave,Roberts,1944.0,USA,roberda05,dave,roberts
Dave,Roberts,1933.0,Panama,roberda03,dave,roberts
Dave,Roberts,1972.0,Japan,roberda07,dave,roberts
Dave,Roberts,1951.0,USA,roberda06,dave,roberts
Ethan,Roberts,1997.0,USA,roberet01,ethan,roberts
Grant,Roberts,1977.0,USA,robergr01,grant,roberts
Jim,Roberts,1895.0,USA,roberji01,jim,roberts
Kenny,Roberts,1988.0,USA,roberke02,kenny,roberts
Leon,Roberts,1951.0,USA,roberle01,leon,roberts
Ray,Roberts,1895.0,USA,roberra01,ray,roberts
Red,Roberts,1918.0,USA,roberre01,red,roberts
Robin,Roberts,1926.0,USA,roberro01,robin,roberts
Ryan,Roberts,1980.0,USA,roberry01,ryan,roberts
Skipper,Roberts,1888.0,USA,robersk01,skipper,roberts
Willis,Roberts,1975.0,D.R.,roberwi01,willis,roberts
Andre,Robertson,1957.0,USA,roberan01,andre,robertson
Bob,Robertson,1946.0,USA,roberbo01,bob,robertson
Charlie,Robertson,1896.0,USA,roberch01,charlie,robertson
Connor,Robertson,1981.0,USA,roberco01,connor,robertson
Dan,Robertson,1985.0,USA,roberda09,dan,robertson
Daniel,Robertson,1994.0,USA,roberda10,daniel,robertson
Daryl,Robertson,1936.0,USA,roberda02,daryl,robertson
Dave,Robertson,1889.0,USA,roberda01,dave,robertson
David,Robertson,1985.0,USA,roberda08,david,robertson
Dick,Robertson,1891.0,USA,roberdi01,dick,robertson
Don,Robertson,1930.0,USA,roberdo01,don,robertson
Gene,Robertson,1899.0,USA,roberge01,gene,robertson
Jeriome,Robertson,1977.0,USA,roberje02,jeriome,robertson
Jerry,Robertson,1943.0,USA,roberje01,jerry,robertson
Jim,Robertson,1928.0,USA,roberji02,jim,robertson
Kramer,Robertson,1994.0,USA,roberkr01,kramer,robertson
Mike,Robertson,1970.0,USA,robermi01,mike,robertson
Nate,Robertson,1977.0,USA,roberna01,nate,robertson
Nick,Robertson,1998.0,USA,roberni01,nick,robertson
Rich,Robertson,1944.0,USA,roberri01,rich,robertson
Rich,Robertson,1968.0,USA,roberri02,rich,robertson
Sherry,Robertson,1919.0,CAN,robersh01,sherry,robertson
Tyler,Robertson,1987.0,USA,roberty01,tyler,robertson
Billy Jo,Robidoux,1964.0,USA,robidbi01,billy jo,robidoux
Aaron,Robinson,1915.0,USA,robinaa01,aaron,robinson
Bill,Robinson,1943.0,USA,robinbi02,bill,robinson
Brooks,Robinson,1937.0,USA,robinbr01,brooks,robinson
Bruce,Robinson,1954.0,USA,robinbr02,bruce,robinson
Charlie,Robinson,1856.0,USA,robinch01,charlie,robinson
Chris,Robinson,1984.0,CAN,robinch02,chris,robinson
Chuckie,Robinson,1994.0,USA,robinch03,chuckie,robinson
Clint,Robinson,1985.0,USA,robincl01,clint,robinson
Craig,Robinson,1948.0,USA,robincr01,craig,robinson
Dave,Robinson,1946.0,USA,robinda01,dave,robinson
Derrick,Robinson,1987.0,USA,robinde02,derrick,robinson
Dewey,Robinson,1955.0,USA,robinde01,dewey,robinson
Don,Robinson,1957.0,USA,robindo01,don,robinson
Drew,Robinson,1992.0,USA,robindr01,drew,robinson
Earl,Robinson,1936.0,USA,robinea01,earl,robinson
Eddie,Robinson,1920.0,USA,robined01,eddie,robinson
Floyd,Robinson,1936.0,USA,robinfl01,floyd,robinson
Frank,Robinson,1935.0,USA,robinfr02,frank,robinson
Fred,Robinson,1856.0,USA,robinfr01,fred,robinson
Hank,Robinson,1887.0,USA,robinha01,hank,robinson
Humberto,Robinson,1930.0,Panama,robinhu01,humberto,robinson
Jack,Robinson,1921.0,USA,robinja03,jack,robinson
Jack,Robinson,1880.0,USA,robinja01,jack,robinson
Jackie,Robinson,1919.0,USA,robinja02,jackie,robinson
Jeff,Robinson,1960.0,USA,robinje01,jeff,robinson
Jeff,Robinson,1961.0,USA,robinje02,jeff,robinson
